Num :  97, Time : 183, Before : 13, After : 17
Num :  85, Time : 183, Before : 16, After : 17
Num :  77, Time : 184, Before : 10, After : 11
Num :  64, Time : 184, Before :  2, After :  3
Num :  68, Time : 184, Before : 18, After :  3
Num :  62, Time : 185, Before :  6, After : 13
Num :  87, Time : 185, Before :  2, After :  9
Num :  45, Time : 186, Before :  6, After : 16
Num :   7, Time : 186, Before : 16, After :  1
Num :  98, Time : 187, Before : 18, After :  9
Num :  99, Time : 187, Before :  2, After :  9
Num :  38, Time : 188, Before :  8, After :  9
Num :  41, Time : 191, Before : 10, After : 19
Num :  45, Time : 191, Before : 16, After :  6
Num :  55, Time : 192, Before : 10, After :  6
Num :  48, Time : 192, Before :  7, After :  5
Num :  78, Time : 192, Before :  1, After : 16
Num :  11, Time : 193, Before :  9, After :  8
Num :  26, Time : 194, Before : 12, After :  1
Num :  47, Time : 196, Before : 11, After :  1
Num :  92, Time : 196, Before : 13, After : 14
Num :  57, Time : 196, Before :  8, After :  4
Num :  73, Time : 198, Before :  3, After :  6
Num :  72, Time : 199, Before :  7, After :  9
Num :  77, Time : 200, Before : 11, After : 10
Num :  30, Time : 200, Before : 15, After :  9
Num :  28, Time : 200, Before : 16, After :  1
Num :  29, Time : 200, Before : 18, After :  4
Num :  45, Time : 201, Before :  6, After :  3
Num :  41, Time : 202, Before : 19, After : 10
Num :   4, Time : 202, Before :  2, After :  9
Num :  55, Time : 203, Before :  6, After : 16
Num :  73, Time : 204, Before :  6, After :  3
Num :  19, Time : 204, Before : 14, After : 10
Num :  14, Time : 205, Before : 16, After : 19
Num :  85, Time : 205, Before : 17, After : 16
Num :  79, Time : 206, Before : 14, After :  6
Num :  66, Time : 206, Before : 19, After :  4
Num :  89, Time : 206, Before :  1, After : 16
Num :  83, Time : 206, Before :  1, After : 12
Num :  91, Time : 208, Before : 14, After :  6
Num :  62, Time : 208, Before : 13, After :  6
Num :  29, Time : 209, Before :  4, After :  9
Num :  73, Time : 209, Before :  3, After :  6
Num :  19, Time : 210, Before : 10, After : 14
Num :  50, Time : 210, Before :  5, After : 11
Num :  47, Time : 210, Before :  1, After : 12
Num :  85, Time : 210, Before : 16, After : 17
Num :  77, Time : 211, Before : 10, After : 19
Num :  65, Time : 211, Before :  3, After : 12
Num :  36, Time : 212, Before : 17, After : 14
Num :  44, Time : 213, Before : 14, After :  6
Num :  31, Time : 214, Before :  5, After :  7
Num :  92, Time : 214, Before : 14, After : 11
Num :  46, Time : 215, Before :  9, After :  6
Num :   6, Time : 215, Before : 13, After : 12
Num :  55, Time : 215, Before : 16, After :  6
Num :  17, Time : 216, Before : 11, After :  5
Num :  58, Time : 216, Before : 13, After : 15
Num :  78, Time : 217, Before : 16, After :  1
Num :  45, Time : 217, Before :  3, After :  6
Num :  77, Time : 217, Before : 19, After : 10
Num :  31, Time : 217, Before :  7, After :  5
Num :  30, Time : 219, Before :  9, After :  8
Num :   8, Time : 219, Before : 19, After : 18
Num :  72, Time : 219, Before :  9, After :  7
Num :  79, Time : 220, Before :  6, After : 14
Num :  17, Time : 221, Before :  5, After : 11
Num :  74, Time : 221, Before : 16, After :  4
Num :  35, Time : 221, Before : 10, After : 18
Num :  57, Time : 222, Before :  4, After :  8
Num :  34, Time : 223, Before : 16, After : 19
Num :  94, Time : 223, Before : 17, After : 19
Num :  85, Time : 223, Before : 17, After : 15
Num :  66, Time : 223, Before :  4, After :  5
Num :   4, Time : 223, Before :  9, After :  2
Num :  99, Time : 224, Before :  9, After : 10
Num :  90, Time : 225, Before :  4, After :  5
Num :  24, Time : 226, Before :  4, After : 19
Num :  92, Time : 226, Before : 11, After : 14
Num :  85, Time : 227, Before : 15, After : 17
Num :  94, Time : 227, Before : 19, After : 17
Num :   2, Time : 228, Before : 10, After : 14
Num :  34, Time : 229, Before : 19, After : 16
Num :  33, Time : 229, Before :  2, After :  1
Num :  91, Time : 230, Before :  6, After : 14
Num :  77, Time : 231, Before : 10, After : 11
Num :  63, Time : 231, Before : 16, After :  4
Num :  41, Time : 233, Before : 10, After : 15
Num :  10, Time : 233, Before :  3, After :  6
Num :  44, Time : 234, Before :  6, After : 14
Num :   6, Time : 235, Before : 12, After : 11
Num :  48, Time : 235, Before :  5, After :  7
Num :  29, Time : 236, Before :  9, After :  8
Num :  47, Time : 237, Before : 12, After : 11
Num :  97, Time : 237, Before : 17, After :  2
Num :  23, Time : 237, Before :  3, After : 18
Num :  56, Time : 238, Before : 19, After : 15
Num :   3, Time : 240, Before : 19, After : 18
Num :  96, Time : 240, Before :  2, After :  7
Num :  89, Time : 240, Before : 16, After :  1
Num :  56, Time : 242, Before : 15, After : 18
Num :  57, Time : 243, Before :  8, After : 19
Num :  89, Time : 246, Before :  1, After : 16
Num :  70, Time : 246, Before :  3, After :  8
Num :  93, Time : 246, Before :  3, After :  8
Num :  65, Time : 247, Before : 12, After :  1
Num :  73, Time : 247, Before :  6, After :  3
Num :  82, Time : 247, Before : 19, After :  3
Num :  85, Time : 247, Before : 17, After : 11
Num :  26, Time : 247, Before :  1, After : 12
Num :  78, Time : 248, Before :  1, After : 16
Num :   4, Time : 249, Before :  2, After :  9
Num :  30, Time : 250, Before :  8, After : 16
Num :   1, Time : 251, Before :  2, After : 10
Num :  15, Time : 253, Before : 16, After :  5
Num :   1, Time : 258, Before : 10, After :  2
Num :  97, Time : 258, Before :  2, After :  9
Num :  88, Time : 258, Before :  1, After :  5
Num :  26, Time : 261, Before : 12, After :  1
Num :  41, Time : 262, Before : 15, After : 11
Num :  23, Time : 263, Before : 18, After :  3
Num :  30, Time : 263, Before : 16, After :  4
Num :  54, Time : 264, Before : 10, After : 11
Num :  28, Time : 264, Before :  1, After : 16
Num :  93, Time : 264, Before :  8, After :  3
Num :   4, Time : 266, Before :  9, After :  2
Num :  54, Time : 267, Before : 11, After : 10
Num :  85, Time : 267, Before : 11, After : 17
Num :  55, Time : 268, Before :  6, After : 13
Num :  22, Time : 269, Before :  5, After :  7
Num :  51, Time : 270, Before :  6, After :  3
Num :  46, Time : 270, Before :  6, After : 16
Num :  31, Time : 270, Before :  5, After :  7
Num :  91, Time : 271, Before : 14, After : 15
Num :   3, Time : 272, Before : 18, After : 15
Num :  68, Time : 272, Before :  3, After : 19
Num :  89, Time : 272, Before : 16, After :  1
Num :  92, Time : 273, Before : 14, After : 13
Num :  78, Time : 274, Before : 16, After :  1
Num :  41, Time : 275, Before : 11, After : 15
Num :  79, Time : 275, Before : 14, After : 15
Num :  85, Time : 276, Before : 17, After : 11
Num :  77, Time : 277, Before : 11, After : 10
Num :  66, Time : 277, Before :  5, After :  4
Num :  27, Time : 278, Before : 16, After :  5
Num :  28, Time : 279, Before : 16, After :  1
Num :  29, Time : 280, Before :  8, After :  9
Num :   3, Time : 280, Before : 15, After : 14
Num :  56, Time : 282, Before : 18, After : 19
Num :  27, Time : 282, Before :  5, After : 16
Num :  13, Time : 283, Before :  8, After :  4
Num :  33, Time : 284, Before :  1, After :  5
Num :  34, Time : 285, Before : 16, After :  1
Num :  46, Time : 285, Before : 16, After :  6
Num :   8, Time : 286, Before : 18, After : 19
Num :  64, Time : 287, Before :  3, After : 18
Num :  68, Time : 288, Before : 19, After :  3
Num :  45, Time : 289, Before :  6, After : 15
Num :  46, Time : 289, Before :  6, After : 16
Num :  72, Time : 289, Before :  7, After :  9
Num :   5, Time : 290, Before : 18, After :  6
Num :  28, Time : 290, Before :  1, After : 12
Num :  26, Time : 291, Before :  1, After : 16
Num :  52, Time : 291, Before : 13, After : 14
Num :  49, Time : 292, Before : 11, After :  9
Num :  47, Time : 292, Before : 11, After : 14
Num :   4, Time : 292, Before :  2, After :  8
Num :   6, Time : 293, Before : 11, After :  9
Num :  17, Time : 294, Before : 11, After :  5
Num :  67, Time : 294, Before :  2, After : 13
Num :  74, Time : 295, Before :  4, After : 16
Num :  13, Time : 295, Before :  4, After :  3
Num :   3, Time : 297, Before : 14, After : 15
Num :  82, Time : 297, Before :  3, After : 19
Num :  26, Time : 298, Before : 16, After :  1
Num :  88, Time : 298, Before :  5, After :  2
Num :  45, Time : 299, Before : 15, After :  6
Num :  78, Time : 300, Before :  1, After : 16
Num :  85, Time : 300, Before : 11, After : 12
Num :  55, Time : 302, Before : 13, After :  5
Num :  22, Time : 302, Before :  7, After :  5
Num :  27, Time : 303, Before : 16, After :  1
Num :  90, Time : 303, Before :  5, After :  1
Num :  55, Time : 306, Before :  5, After :  7
Num :  24, Time : 306, Before : 19, After :  8
Num :   6, Time : 307, Before :  9, After : 11
Num :  83, Time : 308, Before : 12, After : 13
Num :  22, Time : 308, Before :  5, After : 11
Num :  76, Time : 308, Before : 13, After :  9
Num :  68, Time : 308, Before :  3, After : 15
Num :  46, Time : 309, Before : 16, After :  6
Num :  64, Time : 310, Before : 18, After :  3
Num :  27, Time : 311, Before :  1, After : 16
Num :  17, Time : 313, Before :  5, After : 15
Num :   9, Time : 313, Before : 12, After : 11
Num :  13, Time : 313, Before :  3, After :  4
Num :  49, Time : 316, Before :  9, After :  6
Num :  47, Time : 316, Before : 14, After : 11
Num :  41, Time : 317, Before : 15, After : 10
Num :  75, Time : 320, Before : 13, After : 15
Num :  75, Time : 321, Before : 15, After : 11
Num :   5, Time : 326, Before :  6, After : 18
Num :  83, Time : 327, Before : 13, After : 15
Num :  38, Time : 328, Before :  9, After : 13
Num :  29, Time : 330, Before :  9, After :  4
Num :  96, Time : 332, Before :  7, After : 17
Num :  48, Time : 333, Before :  7, After : 10
Num :   5, Time : 334, Before : 18, After : 15
Num :  17, Time : 335, Before : 15, After : 11
Num :   2, Time : 335, Before : 14, After : 15
Num :  26, Time : 335, Before :  1, After : 16
Num :  76, Time : 336, Before :  9, After : 13
Num :   7, Time : 336, Before :  1, After : 12
Num :  83, Time : 336, Before : 15, After : 12
Num :  43, Time : 338, Before : 14, After : 13
Num :  32, Time : 338, Before : 13, After :  9
Num :  34, Time : 340, Before :  1, After : 16
Num :  95, Time : 340, Before : 17, After : 18
Num :  36, Time : 341, Before : 14, After : 17
Num :  32, Time : 342, Before :  9, After :  7
Num :  28, Time : 343, Before : 12, After :  1
Num :   9, Time : 343, Before : 11, After : 16
Num :  44, Time : 344, Before : 14, After : 13
Num :  47, Time : 346, Before : 11, After : 14
Num :  55, Time : 346, Before :  7, After :  5
Num :  59, Time : 348, Before :  3, After :  6
Num :  64, Time : 348, Before :  3, After : 15
Num :  83, Time : 349, Before : 12, After : 14
Num :   7, Time : 350, Before : 12, After : 14
Num :  42, Time : 351, Before : 19, After : 18
Num :  58, Time : 351, Before : 15, After : 13
Num :  32, Time : 352, Before :  7, After : 10
Num :  90, Time : 352, Before :  1, After :  4
Num :  95, Time : 353, Before : 18, After :  2
Num :  34, Time : 354, Before : 16, After :  1
